index,Model,features,CNF2OBDD-avg,CNF2OBDD-med,CNF2OBDD-stdev,cudd-avg,cudd-med,cudd-stdev,buddy-avg,buddy-med,buddy-stdev,c2d-avg,c2d-med,c2d-stdev,d4-avg,d4-med,d4-stdev,dsharp-avg,dsharp-med,dsharp-stdev,minic2d-avg,minic2d-med,minic2d-stdev,sdd-avg,sdd-med,sdd-stdev,zsdd-avg,zsdd-med,zsdd-stdev,cnf2eadt-avg,cnf2eadt-med,cnf2eadt-stdev
25,CDL/am31_sim.dimacs,1178,1000,1000,0,600,600,0,600,600,0,5.39091998,5.168155378,0.661894313,1.932783179,1.932729234,0.002842439,9.051990316,9.045865566,0.031820317,5.90307132396847,5.31429921835661,1.66053266733576,600,600,0,1000,1000,0,600,600,0
26,KConfig/embtoolkit.dimacs,1179,1000,1000,0,428.333,429.786,22.52933006,600,600,0,8.89193976,8.838195819,0.453128971,0.104277726,0.108782977,0.008996783,0.120286833,0.121121789,0.002685433,8.93880587462336,8.96284781489521,0.604971086940314,172.2798934,172.2878886,0.046812472,1000,1000,0,11.8398846706375,11.8030188800767,0.116680491903326
27,Smarch/ref4955.dimacs,1218,1000,1000,0,600,600,0,600,600,0,6.134670663,6.225370499,1.205155137,14.78179075,14.775,0.031396852,60.15982108,61.95756663,2.661330332,5.80354970991612,5.50944479182363,0.789452764362567,600,600,0,1000,1000,0,600,600,0
28,Smarch/ecos-icse11.dimacs,1244,1000,1000,0,600,600,0,600,600,0,6.946732068,6.980141396,0.909735504,7.891415157,7.893667653,0.015281897,127.2145178,128.19664,1.885855397,7.81316166706383,8.08574749156833,0.848057820118579,162.2116752,162.2042393,0.208216763,1000,1000,0,600,600,0
29,Smarch/pati.dimacs,1248,1000,1000,0,600,600,0,600,600,0,5.915434583,5.666644744,1.197897308,5.288436612,5.286229867,0.010356756,59.32854793,63.12063935,5.668512716,8.09226609021425,7.13380759954453,2.21057834559228,600,600,0,1000,1000,0,600,600,0
30,CDL/p2106.dimacs,1262,1000,1000,0,600,600,0,600,600,0,5.489379581,5.516435922,0.63212394,5.333250091,5.333326098,0.013601864,14.51968857,14.52073763,0.050884217,7.7614346947521,8.10826852824539,1.70974775903489,600,600,0,1000,1000,0,600,600,0
31,Smarch/integrator_arm9.dimacs,1267,1000,1000,0,600,600,0,600,600,0,11.61133481,10.88969062,3.044117422,4.022632064,4.022110879,0.018753542,79.25217279,81.75500948,5.445977357,17.8602265119553,13.4162696581334,11.9371100656769,600,600,0,1000,1000,0,600,600,0
32,Smarch/olpce2294.dimacs,1274,1000,1000,0,600,600,0,600,600,0,7.576422952,6.985568932,2.012490007,6.72257482,6.73192886,0.024652342,75.76719246,72.67237417,5.465998914,8.84521407075226,8.0790183339268,3.35799643261933,600,600,0,1000,1000,0,600,600,0
33,Smarch/adderII.dimacs,1276,1000,1000,0,600,600,0,600,600,0,5.985076615,5.508862317,1.970712993,9.909697978,9.918294892,0.018336997,70.29691799,69.65044208,6.541001063,6.86416667886078,6.55602814815939,2.23010098818157,600,600,0,1000,1000,0,600,600,0
34,Smarch/at91sam7sek.dimacs,1296,1000,1000,0,600,600,0,600,600,0,6.269459868,6.370291543,1.036736201,4.417221861,4.416707273,0.017852175,76.20969369,77.15159021,4.060731497,9.25705099105835,9.09694476984441,2.53640618314251,600,600,0,1000,1000,0,600,600,0
35,Smarch/se77x9.dimacs,1319,1000,1000,0,600,600,0,600,600,0,10.37715913,9.694114178,1.674041138,8.319954272,8.312904658,0.020385153,78.7676833,80.76134323,4.848600854,9.16861390434206,8.83858775161207,1.83192004406939,600,600,0,1000,1000,0,600,600,0
36,Smarch/m5272c3.dimacs,1323,1000,1000,0,600,600,0,600,600,0,6.680008447,6.658081177,0.855530798,8.603628176,8.606472834,0.013677214,72.64459951,75.73520928,6.333338469,8.07029417641461,7.2396642267704,2.03734664900889,600,600,0,1000,1000,0,600,600,0
